Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
25070,11-11-2022 21:00,11-10-2022 13:00,11-11-2022 12:12,Ludhiana,501,ASSAULT,31,M,Blunt Object,Violent Crime,7,Yes,11-01-2023 21:00
25071,11-11-2022 11:00,11-10-2022 14:00,10-11-2022 20:32,Kanpur,338,FRAUD,66,X,Firearm,Other Crime,12,Yes,16-01-2023 11:00
25072,11-11-2022 16:00,11-10-2022 15:00,10-11-2022 17:22,Chennai,111,SEXUAL ASSAULT,46,X,Knife,Violent Crime,8,Yes,02-11-2024 16:00
25073,10-11-2022 17:00,11-10-2022 16:00,11-11-2022 13:31,Bangalore,205,DRUG OFFENSE,52,X,Firearm,Other Crime,17,No,
25074,11-11-2022 12:00,11-10-2022 17:00,11-11-2022 14:10,Bhopal,440,PUBLIC INTOXICATION,14,M,Poison,Other Crime,6,Yes,03-12-2022 12:00
25075,11-11-2022 05:00,11-10-2022 18:00,10-11-2022 19:40,Delhi,139,IDENTITY THEFT,27,M,None,Violent Crime,19,No,
25076,12-11-2022 11:00,11-10-2022 19:00,11-11-2022 09:22,Chennai,346,HOMICIDE,73,X,Firearm,Other Crime,1,Yes,31-03-2024 11:00
25077,13-11-2022 06:00,11-10-2022 20:00,11-11-2022 15:26,Jaipur,360,COUNTERFEITING,47,F,None,Other Crime,19,No,
25078,12-11-2022 16:00,11-10-2022 21:00,10-11-2022 21:28,Visakhapatnam,520,IDENTITY THEFT,43,F,Explosives,Violent Crime,3,No,
25079,11-11-2022 15:00,11-10-2022 22:00,11-11-2022 00:15,Chennai,396,VEHICLE - STOLEN,11,F,Poison,Violent Crime,11,No,
25080,12-11-2022 22:00,11-10-2022 23:00,11-11-2022 20:17,Delhi,125,KIDNAPPING,17,M,Poison,Other Crime,1,Yes,01-12-2022 22:00
25081,12-11-2022 17:00,11-11-2022 00:00,11-11-2022 01:09,Nashik,456,COUNTERFEITING,44,F,Explosives,Other Crime,18,No,
25082,12-11-2022 05:00,11-11-2022 01:00,11-11-2022 11:19,Kolkata,123,ASSAULT,41,M,Explosives,Violent Crime,6,No,
25083,13-11-2022 04:00,11-11-2022 02:00,11-11-2022 02:19,Mumbai,516,ILLEGAL POSSESSION,37,F,None,Other Crime,10,Yes,26-11-2022 04:00
25084,11-11-2022 12:00,11-11-2022 03:00,11-11-2022 03:57,Bangalore,595,SHOPLIFTING,41,M,Blunt Object,Other Crime,7,Yes,13-01-2023 12:00
25085,13-11-2022 14:00,11-11-2022 04:00,11-11-2022 10:36,Chennai,126,ILLEGAL POSSESSION,78,M,Firearm,Other Crime,7,Yes,20-01-2023 14:00
25086,12-11-2022 08:00,11-11-2022 05:00,11-11-2022 20:17,Nashik,339,DOMESTIC VIOLENCE,66,F,None,Violent Crime,18,Yes,27-11-2022 08:00
25087,12-11-2022 11:00,11-11-2022 06:00,12-11-2022 05:30,Jaipur,466,ROBBERY,22,X,Blunt Object,Violent Crime,7,No,
25088,12-11-2022 12:00,11-11-2022 07:00,11-11-2022 07:27,Jaipur,226,DOMESTIC VIOLENCE,46,F,Explosives,Violent Crime,19,No,
25089,14-11-2022 04:00,11-11-2022 08:00,11-11-2022 14:21,Visakhapatnam,245,DOMESTIC VIOLENCE,72,X,Poison,Violent Crime,14,No,
25090,12-11-2022 07:00,11-11-2022 09:00,12-11-2022 03:32,Mumbai,365,FRAUD,78,F,None,Other Crime,15,No,
25091,11-11-2022 14:00,11-11-2022 10:00,12-11-2022 08:43,Nagpur,254,TRAFFIC VIOLATION,33,X,Blunt Object,Traffic Fatality,18,No,
25092,13-11-2022 09:00,11-11-2022 11:00,12-11-2022 05:10,Delhi,479,VANDALISM,24,X,None,Other Crime,9,No,
25093,13-11-2022 03:00,11-11-2022 12:00,11-11-2022 17:58,Mumbai,239,SHOPLIFTING,18,F,Poison,Other Crime,6,No,
25094,12-11-2022 16:00,11-11-2022 13:00,12-11-2022 02:07,Bangalore,467,FIREARM OFFENSE,17,F,None,Fire Accident,18,Yes,19-11-2022 16:00
25095,12-11-2022 22:00,11-11-2022 14:00,11-11-2022 14:22,Delhi,562,CYBERCRIME,61,M,Blunt Object,Other Crime,2,No,
25096,14-11-2022 09:00,11-11-2022 15:00,12-11-2022 07:42,Delhi,265,KIDNAPPING,63,X,Knife,Other Crime,18,Yes,23-01-2023 09:00
25097,12-11-2022 18:00,11-11-2022 16:00,12-11-2022 09:28,Mumbai,130,ARSON,64,F,Blunt Object,Fire Accident,13,No,
25098,13-11-2022 22:00,11-11-2022 17:00,12-11-2022 00:43,Mumbai,194,COUNTERFEITING,54,M,Explosives,Other Crime,1,No,
25099,14-11-2022 09:00,11-11-2022 18:00,12-11-2022 03:21,Mumbai,503,IDENTITY THEFT,33,M,None,Violent Crime,13,Yes,24-11-2022 09:00
25100,12-11-2022 08:00,11-11-2022 19:00,12-11-2022 08:43,Chennai,380,ILLEGAL POSSESSION,79,F,Blunt Object,Other Crime,7,Yes,20-12-2022 08:00
25101,11-11-2022 22:00,11-11-2022 20:00,12-11-2022 10:24,Hyderabad,304,EXTORTION,29,X,Firearm,Other Crime,15,Yes,08-12-2022 22:00
25102,13-11-2022 02:00,11-11-2022 21:00,12-11-2022 13:36,Nashik,172,IDENTITY THEFT,15,M,None,Violent Crime,1,No,
25103,12-11-2022 08:00,11-11-2022 22:00,12-11-2022 15:45,Lucknow,373,ROBBERY,42,F,Other,Violent Crime,5,No,
25104,13-11-2022 06:00,11-11-2022 23:00,12-11-2022 14:52,Srinagar,545,VEHICLE - STOLEN,51,M,Explosives,Violent Crime,2,No,
25105,14-11-2022 22:00,11-12-2022 00:00,12-11-2022 09:46,Kanpur,495,VEHICLE - STOLEN,29,X,Poison,Violent Crime,16,No,
25106,12-11-2022 10:00,11-12-2022 01:00,12-11-2022 13:53,Delhi,208,SHOPLIFTING,33,F,Other,Other Crime,12,No,
25107,13-11-2022 19:00,11-12-2022 02:00,12-11-2022 13:01,Mumbai,231,CYBERCRIME,26,F,Blunt Object,Other Crime,15,No,
25108,15-11-2022 02:00,11-12-2022 03:00,12-11-2022 05:44,Kolkata,549,TRAFFIC VIOLATION,38,M,Explosives,Traffic Fatality,6,No,
25109,12-11-2022 08:00,11-12-2022 04:00,12-11-2022 11:18,Hyderabad,434,CYBERCRIME,26,X,Knife,Other Crime,7,Yes,02-01-2023 08:00
25110,12-11-2022 08:00,11-12-2022 05:00,12-11-2022 19:45,Vasai,198,SEXUAL ASSAULT,78,M,Blunt Object,Violent Crime,1,Yes,18-11-2023 08:00
25111,13-11-2022 08:00,11-12-2022 06:00,12-11-2022 21:33,Delhi,544,ASSAULT,16,X,Knife,Violent Crime,10,No,
25112,14-11-2022 10:00,11-12-2022 07:00,12-11-2022 15:48,Hyderabad,342,DRUG OFFENSE,27,X,Explosives,Other Crime,3,Yes,25-11-2022 10:00
25113,15-11-2022 02:00,11-12-2022 08:00,12-11-2022 09:33,Srinagar,506,FRAUD,17,X,Poison,Other Crime,19,No,
25114,12-11-2022 10:00,11-12-2022 09:00,13-11-2022 01:18,Hyderabad,342,EXTORTION,53,X,Other,Other Crime,14,Yes,30-12-2022 10:00
25115,13-11-2022 23:00,11-12-2022 10:00,13-11-2022 07:39,Delhi,233,COUNTERFEITING,24,M,Firearm,Other Crime,17,Yes,26-12-2022 23:00
25116,13-11-2022 06:00,11-12-2022 11:00,12-11-2022 17:36,Chennai,342,PUBLIC INTOXICATION,41,X,Other,Other Crime,12,No,
25117,13-11-2022 08:00,11-12-2022 12:00,12-11-2022 17:06,Delhi,572,DOMESTIC VIOLENCE,59,M,None,Violent Crime,12,Yes,02-02-2023 08:00
25118,12-11-2022 21:00,11-12-2022 13:00,12-11-2022 20:57,Delhi,411,PUBLIC INTOXICATION,45,M,Knife,Other Crime,13,Yes,26-11-2022 21:00
25119,14-11-2022 05:00,11-12-2022 14:00,13-11-2022 06:26,Hyderabad,229,COUNTERFEITING,18,X,Blunt Object,Other Crime,1,No,
25120,14-11-2022 00:00,11-12-2022 15:00,13-11-2022 01:50,Meerut,565,TRAFFIC VIOLATION,11,F,Explosives,Traffic Fatality,3,No,
25121,13-11-2022 18:00,11-12-2022 16:00,12-11-2022 22:34,Bangalore,479,ILLEGAL POSSESSION,25,M,None,Other Crime,9,Yes,11-01-2023 18:00
25122,14-11-2022 00:00,11-12-2022 17:00,13-11-2022 04:37,Nagpur,382,CYBERCRIME,43,X,Knife,Other Crime,16,Yes,02-02-2023 00:00
25123,13-11-2022 03:00,11-12-2022 18:00,13-11-2022 00:23,Ludhiana,398,ROBBERY,40,M,Other,Violent Crime,6,Yes,04-05-2023 03:00
25124,12-11-2022 20:00,11-12-2022 19:00,13-11-2022 06:14,Surat,218,ROBBERY,72,M,None,Violent Crime,10,No,
25125,13-11-2022 20:00,11-12-2022 20:00,13-11-2022 00:35,Meerut,554,EXTORTION,19,X,None,Other Crime,4,No,
25126,15-11-2022 03:00,11-12-2022 21:00,13-11-2022 18:12,Pune,430,HOMICIDE,75,X,Poison,Other Crime,10,No,
25127,15-11-2022 12:00,11-12-2022 22:00,13-11-2022 17:36,Mumbai,251,SHOPLIFTING,26,X,Blunt Object,Other Crime,9,No,
25128,13-11-2022 11:00,11-12-2022 23:00,13-11-2022 20:09,Kolkata,348,ARSON,78,M,None,Fire Accident,13,Yes,21-12-2022 11:00
25129,13-11-2022 23:00,11-13-2022 00:00,13-11-2022 08:08,Hyderabad,330,HOMICIDE,62,X,Blunt Object,Other Crime,6,No,
25130,14-11-2022 20:00,11-13-2022 01:00,13-11-2022 07:23,Bangalore,525,VEHICLE - STOLEN,15,F,Poison,Violent Crime,7,Yes,27-01-2023 20:00
25131,15-11-2022 17:00,11-13-2022 02:00,13-11-2022 11:37,Mumbai,471,FIREARM OFFENSE,60,F,Explosives,Fire Accident,13,Yes,07-02-2023 17:00
25132,14-11-2022 12:00,11-13-2022 03:00,13-11-2022 18:33,Meerut,206,SEXUAL ASSAULT,59,F,Blunt Object,Violent Crime,17,Yes,04-05-2024 12:00
26034,23-12-2022 10:00,12-20-2022 17:00,21-12-2022 03:08,Ahmedabad,127,DOMESTIC VIOLENCE,26,X,Firearm,Violent Crime,15,Yes,08-01-2023 10:00
26035,21-12-2022 08:00,12-20-2022 18:00,21-12-2022 14:49,Nagpur,156,ILLEGAL POSSESSION,68,X,Firearm,Other Crime,17,No,
26036,23-12-2022 10:00,12-20-2022 19:00,21-12-2022 06:18,Bangalore,251,ILLEGAL POSSESSION,57,F,Blunt Object,Other Crime,13,No,
26037,20-12-2022 21:00,12-20-2022 20:00,21-12-2022 05:59,Delhi,190,CYBERCRIME,54,X,Blunt Object,Other Crime,16,Yes,21-01-2023 21:00
26038,22-12-2022 11:00,12-20-2022 21:00,21-12-2022 03:51,Jaipur,305,CYBERCRIME,56,X,Blunt Object,Other Crime,11,No,
26039,23-12-2022 20:00,12-20-2022 22:00,21-12-2022 20:04,Rajkot,245,VEHICLE - STOLEN,51,F,None,Violent Crime,17,Yes,18-02-2023 20:00
26040,23-12-2022 20:00,12-20-2022 23:00,21-12-2022 09:33,Varanasi,554,ARSON,24,F,Other,Fire Accident,8,Yes,09-02-2023 20:00
26041,23-12-2022 20:00,12-21-2022 00:00,21-12-2022 17:54,Hyderabad,375,VANDALISM,56,M,Firearm,Other Crime,19,Yes,06-01-2023 20:00
26042,21-12-2022 11:00,12-21-2022 01:00,21-12-2022 20:26,Delhi,124,FRAUD,19,M,Knife,Other Crime,11,Yes,10-03-2023 11:00
26043,23-12-2022 04:00,12-21-2022 02:00,21-12-2022 10:57,Mumbai,413,CYBERCRIME,19,F,Firearm,Other Crime,15,No,
26044,22-12-2022 17:00,12-21-2022 03:00,21-12-2022 05:38,Ahmedabad,428,KIDNAPPING,73,X,Blunt Object,Other Crime,15,No,
26045,21-12-2022 20:00,12-21-2022 04:00,21-12-2022 16:53,Kolkata,553,KIDNAPPING,72,F,Blunt Object,Other Crime,2,No,
26046,23-12-2022 15:00,12-21-2022 05:00,21-12-2022 18:27,Hyderabad,300,HOMICIDE,25,X,Other,Other Crime,19,No,
26047,23-12-2022 16:00,12-21-2022 06:00,21-12-2022 22:45,Ahmedabad,110,ASSAULT,25,X,Explosives,Violent Crime,12,No,
26048,23-12-2022 23:00,12-21-2022 07:00,22-12-2022 06:01,Delhi,118,ARSON,12,M,Knife,Fire Accident,18,Yes,08-03-2023 23:00
26049,24-12-2022 02:00,12-21-2022 08:00,21-12-2022 16:11,Chennai,311,ARSON,75,M,Knife,Fire Accident,16,Yes,07-03-2023 02:00
26050,21-12-2022 21:00,12-21-2022 09:00,22-12-2022 03:05,Jaipur,224,EXTORTION,29,M,Explosives,Other Crime,9,No,
26051,22-12-2022 17:00,12-21-2022 10:00,21-12-2022 14:26,Kolkata,318,CYBERCRIME,21,M,Blunt Object,Other Crime,5,Yes,18-02-2023 17:00
26052,22-12-2022 03:00,12-21-2022 11:00,21-12-2022 14:37,Kolkata,598,DOMESTIC VIOLENCE,34,M,Explosives,Violent Crime,16,No,
26053,23-12-2022 00:00,12-21-2022 12:00,22-12-2022 08:44,Chennai,487,ARSON,10,M,Poison,Fire Accident,17,No,
26054,23-12-2022 05:00,12-21-2022 13:00,22-12-2022 05:19,Hyderabad,163,FRAUD,69,F,Blunt Object,Other Crime,12,No,
26055,23-12-2022 16:00,12-21-2022 14:00,21-12-2022 20:27,Bangalore,419,PUBLIC INTOXICATION,71,X,Explosives,Other Crime,8,No,
26056,22-12-2022 21:00,12-21-2022 15:00,22-12-2022 04:01,Surat,557,ASSAULT,10,M,None,Violent Crime,18,No,
26057,23-12-2022 23:00,12-21-2022 16:00,22-12-2022 12:09,Mumbai,375,TRAFFIC VIOLATION,72,F,Firearm,Traffic Fatality,8,No,
26058,21-12-2022 23:00,12-21-2022 17:00,21-12-2022 22:51,Pune,212,FRAUD,37,X,None,Other Crime,14,No,
26059,24-12-2022 15:00,12-21-2022 18:00,22-12-2022 11:29,Kolkata,379,DOMESTIC VIOLENCE,73,M,Poison,Violent Crime,14,Yes,12-03-2023 15:00
26306,03-01-2023 22:00,01-01-2023 01:00,01-01-2023 07:35,Hyderabad,351,EXTORTION,46,M,Knife,Other Crime,1,Yes,19-02-2023 22:00
26307,02-01-2023 13:00,01-01-2023 02:00,01-01-2023 17:03,Nashik,197,ASSAULT,40,M,Blunt Object,Violent Crime,5,No,
26308,03-01-2023 22:00,01-01-2023 03:00,01-01-2023 06:23,Chennai,303,TRAFFIC VIOLATION,27,M,Knife,Traffic Fatality,4,No,
26309,01-01-2023 21:00,01-01-2023 04:00,01-01-2023 16:43,Srinagar,192,DRUG OFFENSE,54,F,Blunt Object,Other Crime,17,No,
26310,02-01-2023 00:00,01-01-2023 05:00,01-01-2023 14:02,Faridabad,381,VANDALISM,50,F,Explosives,Other Crime,3,Yes,13-01-2023 00:00
26311,02-01-2023 03:00,01-01-2023 06:00,02-01-2023 00:41,Kolkata,284,DOMESTIC VIOLENCE,48,X,None,Violent Crime,6,Yes,10-03-2023 03:00
26312,02-01-2023 19:00,01-01-2023 07:00,01-01-2023 19:08,Surat,301,DOMESTIC VIOLENCE,17,X,Firearm,Violent Crime,9,Yes,27-02-2023 19:00
26313,03-01-2023 11:00,01-01-2023 08:00,01-01-2023 17:47,Pune,562,EXTORTION,18,F,Knife,Other Crime,2,Yes,01-04-2023 11:00
26314,03-01-2023 07:00,01-01-2023 09:00,01-01-2023 14:16,Delhi,394,EXTORTION,52,M,Blunt Object,Other Crime,18,Yes,02-04-2023 07:00
26315,03-01-2023 07:00,01-01-2023 10:00,02-01-2023 01:09,Bangalore,161,FIREARM OFFENSE,79,F,Blunt Object,Fire Accident,8,No,
26316,04-01-2023 01:00,01-01-2023 11:00,01-01-2023 14:54,Delhi,209,EXTORTION,14,X,Knife,Other Crime,8,No,
26317,03-01-2023 02:00,01-01-2023 12:00,01-01-2023 14:05,Hyderabad,521,VEHICLE - STOLEN,14,M,Firearm,Violent Crime,13,No,
26318,02-01-2023 23:00,01-01-2023 13:00,02-01-2023 10:58,Bangalore,258,DOMESTIC VIOLENCE,58,F,Other,Violent Crime,6,No,
26319,04-01-2023 01:00,01-01-2023 14:00,01-01-2023 14:42,Visakhapatnam,424,FIREARM OFFENSE,44,F,Explosives,Fire Accident,4,Yes,30-03-2023 01:00
26320,03-01-2023 06:00,01-01-2023 15:00,02-01-2023 13:17,Jaipur,418,HOMICIDE,53,M,Firearm,Other Crime,8,No,
26321,02-01-2023 17:00,01-01-2023 16:00,02-01-2023 07:50,Pune,119,PUBLIC INTOXICATION,45,X,Explosives,Other Crime,7,Yes,22-01-2023 17:00
26322,03-01-2023 14:00,01-01-2023 17:00,01-01-2023 20:08,Mumbai,116,SEXUAL ASSAULT,79,M,Poison,Violent Crime,16,Yes,06-08-2024 14:00
26323,04-01-2023 09:00,01-01-2023 18:00,02-01-2023 07:57,Lucknow,339,DRUG OFFENSE,29,F,None,Other Crime,11,Yes,14-03-2023 09:00
26324,02-01-2023 04:00,01-01-2023 19:00,02-01-2023 08:47,Pune,450,IDENTITY THEFT,13,X,Firearm,Violent Crime,15,No,
26325,02-01-2023 23:00,01-01-2023 20:00,01-01-2023 22:19,Ahmedabad,257,FIREARM OFFENSE,55,F,Knife,Fire Accident,18,No,
26326,02-01-2023 12:00,01-01-2023 21:00,02-01-2023 06:02,Visakhapatnam,101,IDENTITY THEFT,79,F,Poison,Violent Crime,8,No,
26327,03-01-2023 14:00,01-01-2023 22:00,02-01-2023 21:53,Indore,352,ILLEGAL POSSESSION,64,X,Poison,Other Crime,12,Yes,26-03-2023 14:00
26328,04-01-2023 20:00,01-01-2023 23:00,02-01-2023 11:23,Meerut,543,KIDNAPPING,60,F,Other,Other Crime,7,Yes,30-01-2023 20:00
26329,02-01-2023 23:00,01-02-2023 00:00,02-01-2023 11:53,Thane,237,CYBERCRIME,66,F,Blunt Object,Other Crime,10,Yes,01-02-2023 23:00
26330,03-01-2023 06:00,01-02-2023 01:00,02-01-2023 13:29,Patna,376,COUNTERFEITING,57,X,Firearm,Other Crime,9,Yes,10-01-2023 06:00
26331,04-01-2023 20:00,01-02-2023 02:00,02-01-2023 06:31,Bangalore,283,COUNTERFEITING,16,F,Explosives,Other Crime,6,Yes,18-01-2023 20:00
26332,02-01-2023 12:00,01-02-2023 03:00,02-01-2023 15:54,Pune,118,ASSAULT,62,X,Firearm,Violent Crime,19,No,
26333,04-01-2023 04:00,01-02-2023 04:00,02-01-2023 16:46,Nashik,342,CYBERCRIME,16,F,Blunt Object,Other Crime,14,No,
26334,02-01-2023 22:00,01-02-2023 05:00,02-01-2023 23:37,Kolkata,359,SEXUAL ASSAULT,45,F,Firearm,Violent Crime,13,Yes,09-07-2024 22:00
26335,04-01-2023 05:00,01-02-2023 06:00,03-01-2023 03:59,Mumbai,386,SEXUAL ASSAULT,46,M,Blunt Object,Violent Crime,5,No,
26336,05-01-2023 06:00,01-02-2023 07:00,03-01-2023 03:35,Mumbai,491,PUBLIC INTOXICATION,62,X,Poison,Other Crime,19,Yes,10-01-2023 06:00
26337,03-01-2023 16:00,01-02-2023 08:00,02-01-2023 18:12,Jaipur,123,IDENTITY THEFT,32,F,Other,Violent Crime,16,Yes,30-01-2023 16:00
26338,04-01-2023 01:00,01-02-2023 09:00,03-01-2023 07:19,Bangalore,594,FIREARM OFFENSE,32,M,Blunt Object,Fire Accident,10,Yes,18-03-2023 01:00
26339,03-01-2023 05:00,01-02-2023 10:00,02-01-2023 16:42,Ludhiana,342,FIREARM OFFENSE,52,M,Knife,Fire Accident,13,No,
26340,03-01-2023 06:00,01-02-2023 11:00,03-01-2023 07:36,Hyderabad,364,FIREARM OFFENSE,28,X,Blunt Object,Fire Accident,19,No,
26341,03-01-2023 22:00,01-02-2023 12:00,03-01-2023 01:11,Ahmedabad,522,SHOPLIFTING,28,X,Firearm,Other Crime,4,Yes,21-03-2023 22:00
26342,02-01-2023 19:00,01-02-2023 13:00,02-01-2023 16:23,Ahmedabad,208,KIDNAPPING,55,M,Knife,Other Crime,7,No,
26343,05-01-2023 03:00,01-02-2023 14:00,03-01-2023 08:21,Lucknow,518,PUBLIC INTOXICATION,69,F,Blunt Object,Other Crime,11,No,
26344,05-01-2023 09:00,01-02-2023 15:00,03-01-2023 07:19,Chennai,522,VANDALISM,29,X,Firearm,Other Crime,10,Yes,04-02-2023 09:00
26345,03-01-2023 18:00,01-02-2023 16:00,03-01-2023 08:25,Kanpur,156,ARSON,78,X,Explosives,Fire Accident,5,No,
26346,04-01-2023 22:00,01-02-2023 17:00,02-01-2023 23:41,Pune,101,DRUG OFFENSE,44,M,Explosives,Other Crime,10,No,
26347,03-01-2023 19:00,01-02-2023 18:00,02-01-2023 20:46,Mumbai,302,DRUG OFFENSE,32,M,Other,Other Crime,10,No,
26348,04-01-2023 22:00,01-02-2023 19:00,03-01-2023 17:54,Visakhapatnam,573,IDENTITY THEFT,40,F,None,Violent Crime,14,Yes,22-03-2023 22:00
26349,03-01-2023 13:00,01-02-2023 20:00,02-01-2023 20:18,Ahmedabad,114,SHOPLIFTING,69,F,Blunt Object,Other Crime,9,No,
26350,04-01-2023 06:00,01-02-2023 21:00,03-01-2023 15:47,Kolkata,387,FRAUD,60,X,Other,Other Crime,17,No,
26351,03-01-2023 14:00,01-02-2023 22:00,02-01-2023 23:42,Varanasi,475,ASSAULT,60,X,None,Violent Crime,15,No,
26352,03-01-2023 02:00,01-02-2023 23:00,03-01-2023 06:59,Mumbai,260,COUNTERFEITING,50,F,Blunt Object,Other Crime,14,No,
26353,05-01-2023 23:00,01-03-2023 00:00,03-01-2023 09:03,Surat,597,DOMESTIC VIOLENCE,64,F,Poison,Violent Crime,10,No,
