Time_of_incidient,Year,Month,Weekday,Hour,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Case Closed,Date Case Closed,Crime Domain_Fire Accident,Crime Domain_Other Crime,Crime Domain_Traffic Fatality,Crime Domain_Violent Crime,North_India,South_India,East_India,West_India,Central_India,lat,lon,Region,Weapon Category,Crime Domain
2022-11-10 03:32:00,2022,11,4,3,Chennai,598,KIDNAPPING,46,2,Blunt Object,12,0,Not Given,0.0,1.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Blunt,Other Crime
2022-11-10 11:58:00,2022,11,4,11,Visakhapatnam,548,VANDALISM,58,0,Blunt Object,17,0,Not Given,0.0,1.0,0.0,0.0,0,1,0,0,0,17.6868,83.2185,South,Blunt,Other Crime
2022-11-10 08:46:00,2022,11,4,8,Visakhapatnam,409,DOMESTIC VIOLENCE,54,1,Blunt Object,13,0,Not Given,0.0,0.0,0.0,1.0,0,1,0,0,0,17.6868,83.2185,South,Blunt,Violent Crime
2022-11-10 23:19:00,2022,11,4,23,Patna,101,EXTORTION,60,2,Blunt Object,16,1,18-01-2023 19:00,0.0,1.0,0.0,0.0,0,0,1,0,0,25.5941,85.1376,East,Blunt,Other Crime
2022-11-10 05:00:00,2022,11,4,5,Hyderabad,268,DOMESTIC VIOLENCE,20,0,Poison,7,0,Not Given,0.0,0.0,0.0,1.0,0,0,0,0,0,17.385,78.4867,Unknown,Other,Violent Crime
2022-11-10 10:43:00,2022,11,4,10,Mumbai,301,TRAFFIC VIOLATION,10,1,Knife,11,0,Not Given,0.0,0.0,1.0,0.0,0,0,0,1,0,19.076,72.8777,West,Sharp,Traffic Fatality
2022-11-10 05:40:00,2022,11,4,5,Chennai,224,HOMICIDE,74,2,Not Given,17,1,29-02-2024 23:00,0.0,1.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Unknown,Other Crime
2022-11-11 03:45:00,2022,11,5,3,Delhi,399,IDENTITY THEFT,10,2,Not Given,15,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,28.6139,77.209,North,Unknown,Violent Crime
2022-11-10 17:10:00,2022,11,4,17,Nashik,379,DRUG OFFENSE,42,2,Blunt Object,14,1,16-12-2022 00:00,0.0,1.0,0.0,0.0,0,0,0,1,0,19.9975,73.7898,West,Blunt,Other Crime
2022-11-10 21:17:00,2022,11,4,21,Bangalore,356,EXTORTION,52,1,Explosives,19,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Other,Other Crime
2022-11-10 17:48:00,2022,11,4,17,Bangalore,223,ILLEGAL POSSESSION,47,2,Not Given,15,1,09-02-2023 13:00,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Unknown,Other Crime
2022-11-10 09:27:00,2022,11,4,9,Surat,552,HOMICIDE,51,1,Other,15,1,19-09-2023 21:00,0.0,1.0,0.0,0.0,0,0,0,1,0,21.1702,72.8311,West,Other,Other Crime
2022-11-10 16:00:00,2022,11,4,16,Rajkot,268,DOMESTIC VIOLENCE,30,0,Explosives,9,1,21-11-2022 20:00,0.0,0.0,0.0,1.0,0,0,0,1,0,22.3039,70.8022,West,Other,Violent Crime
2022-11-11 05:51:00,2022,11,5,5,Bangalore,454,CYBERCRIME,17,1,Other,17,1,08-01-2023 00:00,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Other,Other Crime
2022-11-11 08:11:00,2022,11,5,8,Lucknow,347,VANDALISM,10,1,Not Given,11,1,12-12-2022 20:00,0.0,1.0,0.0,0.0,1,0,0,0,0,26.8467,80.9462,North,Unknown,Other Crime
2022-11-11 12:12:00,2022,11,5,12,Ludhiana,501,ASSAULT,31,0,Blunt Object,7,1,11-01-2023 21:00,0.0,0.0,0.0,1.0,1,0,0,0,0,30.9,75.8573,North,Blunt,Violent Crime
2022-11-10 20:32:00,2022,11,4,20,Kanpur,338,FRAUD,66,2,Firearm,12,1,16-01-2023 11:00,0.0,1.0,0.0,0.0,1,0,0,0,0,26.4499,80.3319,North,Gun,Other Crime
2022-11-10 17:22:00,2022,11,4,17,Chennai,111,SEXUAL ASSAULT,46,2,Knife,8,1,02-11-2024 16:00,0.0,0.0,0.0,1.0,0,1,0,0,0,13.0827,80.2707,South,Sharp,Violent Crime
2022-11-11 13:31:00,2022,11,5,13,Bangalore,205,DRUG OFFENSE,52,2,Firearm,17,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Gun,Other Crime
2022-11-11 14:10:00,2022,11,5,14,Bhopal,440,PUBLIC INTOXICATION,14,0,Poison,6,1,03-12-2022 12:00,0.0,1.0,0.0,0.0,0,0,0,0,1,23.2599,77.4126,Central,Other,Other Crime
2022-11-10 19:40:00,2022,11,4,19,Delhi,139,IDENTITY THEFT,27,0,Not Given,19,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,28.6139,77.209,North,Unknown,Violent Crime
2022-11-11 09:22:00,2022,11,5,9,Chennai,346,HOMICIDE,73,2,Firearm,1,1,31-03-2024 11:00,0.0,1.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Gun,Other Crime
2022-11-11 15:26:00,2022,11,5,15,Jaipur,360,COUNTERFEITING,47,1,Not Given,19,0,Not Given,0.0,1.0,0.0,0.0,1,0,0,0,0,26.9124,75.7873,North,Unknown,Other Crime
2022-11-10 21:28:00,2022,11,4,21,Visakhapatnam,520,IDENTITY THEFT,43,1,Explosives,3,0,Not Given,0.0,0.0,0.0,1.0,0,1,0,0,0,17.6868,83.2185,South,Other,Violent Crime
2022-11-11 00:15:00,2022,11,5,0,Chennai,396,VEHICLE - STOLEN,11,1,Poison,11,0,Not Given,0.0,0.0,0.0,1.0,0,1,0,0,0,13.0827,80.2707,South,Other,Violent Crime
2022-11-11 20:17:00,2022,11,5,20,Delhi,125,KIDNAPPING,17,0,Poison,1,1,01-12-2022 22:00,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Other,Other Crime
2022-11-11 01:09:00,2022,11,5,1,Nashik,456,COUNTERFEITING,44,1,Explosives,18,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,19.9975,73.7898,West,Other,Other Crime
2022-11-11 11:19:00,2022,11,5,11,Kolkata,123,ASSAULT,41,0,Explosives,6,0,Not Given,0.0,0.0,0.0,1.0,0,0,1,0,0,22.5726,88.3639,East,Other,Violent Crime
2022-11-11 02:19:00,2022,11,5,2,Mumbai,516,ILLEGAL POSSESSION,37,1,Not Given,10,1,26-11-2022 04:00,0.0,1.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Unknown,Other Crime
2022-11-11 03:57:00,2022,11,5,3,Bangalore,595,SHOPLIFTING,41,0,Blunt Object,7,1,13-01-2023 12:00,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Blunt,Other Crime
2022-11-11 10:36:00,2022,11,5,10,Chennai,126,ILLEGAL POSSESSION,78,0,Firearm,7,1,20-01-2023 14:00,0.0,1.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Gun,Other Crime
2022-11-11 20:17:00,2022,11,5,20,Nashik,339,DOMESTIC VIOLENCE,66,1,Not Given,18,1,27-11-2022 08:00,0.0,0.0,0.0,1.0,0,0,0,1,0,19.9975,73.7898,West,Unknown,Violent Crime
2022-11-12 05:30:00,2022,11,6,5,Jaipur,466,ROBBERY,22,2,Blunt Object,7,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,26.9124,75.7873,North,Blunt,Violent Crime
2022-11-11 07:27:00,2022,11,5,7,Jaipur,226,DOMESTIC VIOLENCE,46,1,Explosives,19,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,26.9124,75.7873,North,Other,Violent Crime
2022-11-11 14:21:00,2022,11,5,14,Visakhapatnam,245,DOMESTIC VIOLENCE,72,2,Poison,14,0,Not Given,0.0,0.0,0.0,1.0,0,1,0,0,0,17.6868,83.2185,South,Other,Violent Crime
2022-11-12 03:32:00,2022,11,6,3,Mumbai,365,FRAUD,78,1,Not Given,15,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Unknown,Other Crime
2022-11-12 08:43:00,2022,11,6,8,Nagpur,254,TRAFFIC VIOLATION,33,2,Blunt Object,18,0,Not Given,0.0,0.0,1.0,0.0,0,0,0,0,1,21.1458,79.0882,Central,Blunt,Traffic Fatality
2022-11-12 05:10:00,2022,11,6,5,Delhi,479,VANDALISM,24,2,Not Given,9,0,Not Given,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Unknown,Other Crime
2022-11-11 17:58:00,2022,11,5,17,Mumbai,239,SHOPLIFTING,18,1,Poison,6,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Other,Other Crime
2022-11-12 02:07:00,2022,11,6,2,Bangalore,467,FIREARM OFFENSE,17,1,Not Given,18,1,19-11-2022 16:00,1.0,0.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Unknown,Fire Accident
2022-11-11 14:22:00,2022,11,5,14,Delhi,562,CYBERCRIME,61,0,Blunt Object,2,0,Not Given,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Blunt,Other Crime
2022-11-12 07:42:00,2022,11,6,7,Delhi,265,KIDNAPPING,63,2,Knife,18,1,23-01-2023 09:00,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Sharp,Other Crime
2022-11-12 09:28:00,2022,11,6,9,Mumbai,130,ARSON,64,1,Blunt Object,13,0,Not Given,1.0,0.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Blunt,Fire Accident
2022-11-12 00:43:00,2022,11,6,0,Mumbai,194,COUNTERFEITING,54,0,Explosives,1,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Other,Other Crime
2022-11-12 03:21:00,2022,11,6,3,Mumbai,503,IDENTITY THEFT,33,0,Not Given,13,1,24-11-2022 09:00,0.0,0.0,0.0,1.0,0,0,0,1,0,19.076,72.8777,West,Unknown,Violent Crime
2022-11-12 08:43:00,2022,11,6,8,Chennai,380,ILLEGAL POSSESSION,79,1,Blunt Object,7,1,20-12-2022 08:00,0.0,1.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Blunt,Other Crime
2022-11-12 10:24:00,2022,11,6,10,Hyderabad,304,EXTORTION,29,2,Firearm,15,1,08-12-2022 22:00,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Gun,Other Crime
2022-11-12 13:36:00,2022,11,6,13,Nashik,172,IDENTITY THEFT,15,0,Not Given,1,0,Not Given,0.0,0.0,0.0,1.0,0,0,0,1,0,19.9975,73.7898,West,Unknown,Violent Crime
2022-11-12 15:45:00,2022,11,6,15,Lucknow,373,ROBBERY,42,1,Other,5,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,26.8467,80.9462,North,Other,Violent Crime
2022-11-12 14:52:00,2022,11,6,14,Srinagar,545,VEHICLE - STOLEN,51,0,Explosives,2,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,34.0837,74.7973,North,Other,Violent Crime
2022-11-12 09:46:00,2022,11,6,9,Kanpur,495,VEHICLE - STOLEN,29,2,Poison,16,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,26.4499,80.3319,North,Other,Violent Crime
2022-11-12 13:53:00,2022,11,6,13,Delhi,208,SHOPLIFTING,33,1,Other,12,0,Not Given,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Other,Other Crime
2022-11-12 13:01:00,2022,11,6,13,Mumbai,231,CYBERCRIME,26,1,Blunt Object,15,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Blunt,Other Crime
2022-11-12 05:44:00,2022,11,6,5,Kolkata,549,TRAFFIC VIOLATION,38,0,Explosives,6,0,Not Given,0.0,0.0,1.0,0.0,0,0,1,0,0,22.5726,88.3639,East,Other,Traffic Fatality
2022-11-12 11:18:00,2022,11,6,11,Hyderabad,434,CYBERCRIME,26,2,Knife,7,1,02-01-2023 08:00,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Sharp,Other Crime
2022-11-12 19:45:00,2022,11,6,19,Vasai,198,SEXUAL ASSAULT,78,0,Blunt Object,1,1,18-11-2023 08:00,0.0,0.0,0.0,1.0,0,0,0,1,0,19.3919,72.8397,West,Blunt,Violent Crime
2022-11-12 21:33:00,2022,11,6,21,Delhi,544,ASSAULT,16,2,Knife,10,0,Not Given,0.0,0.0,0.0,1.0,1,0,0,0,0,28.6139,77.209,North,Sharp,Violent Crime
2022-11-12 15:48:00,2022,11,6,15,Hyderabad,342,DRUG OFFENSE,27,2,Explosives,3,1,25-11-2022 10:00,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Other,Other Crime
2022-11-12 09:33:00,2022,11,6,9,Srinagar,506,FRAUD,17,2,Poison,19,0,Not Given,0.0,1.0,0.0,0.0,1,0,0,0,0,34.0837,74.7973,North,Other,Other Crime
2022-11-13 01:18:00,2022,11,7,1,Hyderabad,342,EXTORTION,53,2,Other,14,1,30-12-2022 10:00,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Other,Other Crime
2022-11-13 07:39:00,2022,11,7,7,Delhi,233,COUNTERFEITING,24,0,Firearm,17,1,26-12-2022 23:00,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Gun,Other Crime
2022-11-12 17:36:00,2022,11,6,17,Chennai,342,PUBLIC INTOXICATION,41,2,Other,12,0,Not Given,0.0,1.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Other,Other Crime
2022-11-12 17:06:00,2022,11,6,17,Delhi,572,DOMESTIC VIOLENCE,59,0,Not Given,12,1,02-02-2023 08:00,0.0,0.0,0.0,1.0,1,0,0,0,0,28.6139,77.209,North,Unknown,Violent Crime
2022-11-12 20:57:00,2022,11,6,20,Delhi,411,PUBLIC INTOXICATION,45,0,Knife,13,1,26-11-2022 21:00,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Sharp,Other Crime
2022-11-13 06:26:00,2022,11,7,6,Hyderabad,229,COUNTERFEITING,18,2,Blunt Object,1,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Blunt,Other Crime
2022-11-13 01:50:00,2022,11,7,1,Meerut,565,TRAFFIC VIOLATION,11,1,Explosives,3,0,Not Given,0.0,0.0,1.0,0.0,1,0,0,0,0,28.9845,77.7064,North,Other,Traffic Fatality
2022-11-12 22:34:00,2022,11,6,22,Bangalore,479,ILLEGAL POSSESSION,25,0,Not Given,9,1,11-01-2023 18:00,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Unknown,Other Crime
2022-11-13 04:37:00,2022,11,7,4,Nagpur,382,CYBERCRIME,43,2,Knife,16,1,02-02-2023 00:00,0.0,1.0,0.0,0.0,0,0,0,0,1,21.1458,79.0882,Central,Sharp,Other Crime
2022-11-13 00:23:00,2022,11,7,0,Ludhiana,398,ROBBERY,40,0,Other,6,1,04-05-2023 03:00,0.0,0.0,0.0,1.0,1,0,0,0,0,30.9,75.8573,North,Other,Violent Crime
2022-11-13 06:14:00,2022,11,7,6,Surat,218,ROBBERY,72,0,Not Given,10,0,Not Given,0.0,0.0,0.0,1.0,0,0,0,1,0,21.1702,72.8311,West,Unknown,Violent Crime
2022-11-13 00:35:00,2022,11,7,0,Meerut,554,EXTORTION,19,2,Not Given,4,0,Not Given,0.0,1.0,0.0,0.0,1,0,0,0,0,28.9845,77.7064,North,Unknown,Other Crime
2022-11-13 18:12:00,2022,11,7,18,Pune,430,HOMICIDE,75,2,Poison,10,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,18.5204,73.8567,West,Other,Other Crime
2022-11-13 17:36:00,2022,11,7,17,Mumbai,251,SHOPLIFTING,26,2,Blunt Object,9,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Blunt,Other Crime
2022-11-13 20:09:00,2022,11,7,20,Kolkata,348,ARSON,78,0,Not Given,13,1,21-12-2022 11:00,1.0,0.0,0.0,0.0,0,0,1,0,0,22.5726,88.3639,East,Unknown,Fire Accident
2022-11-13 08:08:00,2022,11,7,8,Hyderabad,330,HOMICIDE,62,2,Blunt Object,6,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Blunt,Other Crime
2022-11-13 07:23:00,2022,11,7,7,Bangalore,525,VEHICLE - STOLEN,15,1,Poison,7,1,27-01-2023 20:00,0.0,0.0,0.0,1.0,0,0,0,0,0,12.9716,77.5946,Unknown,Other,Violent Crime
2022-11-13 11:37:00,2022,11,7,11,Mumbai,471,FIREARM OFFENSE,60,1,Explosives,13,1,07-02-2023 17:00,1.0,0.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Other,Fire Accident
2022-11-13 18:33:00,2022,11,7,18,Meerut,206,SEXUAL ASSAULT,59,1,Blunt Object,17,1,04-05-2024 12:00,0.0,0.0,0.0,1.0,1,0,0,0,0,28.9845,77.7064,North,Blunt,Violent Crime
2022-12-21 03:08:00,2022,12,3,3,Ahmedabad,127,DOMESTIC VIOLENCE,26,2,Firearm,15,1,08-01-2023 10:00,0.0,0.0,0.0,1.0,0,0,0,1,0,23.0225,72.5714,West,Gun,Violent Crime
2022-12-21 14:49:00,2022,12,3,14,Nagpur,156,ILLEGAL POSSESSION,68,2,Firearm,17,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,1,21.1458,79.0882,Central,Gun,Other Crime
2022-12-21 06:18:00,2022,12,3,6,Bangalore,251,ILLEGAL POSSESSION,57,1,Blunt Object,13,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Blunt,Other Crime
2022-12-21 05:59:00,2022,12,3,5,Delhi,190,CYBERCRIME,54,2,Blunt Object,16,1,21-01-2023 21:00,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Blunt,Other Crime
2022-12-21 03:51:00,2022,12,3,3,Jaipur,305,CYBERCRIME,56,2,Blunt Object,11,0,Not Given,0.0,1.0,0.0,0.0,1,0,0,0,0,26.9124,75.7873,North,Blunt,Other Crime
2022-12-21 20:04:00,2022,12,3,20,Rajkot,245,VEHICLE - STOLEN,51,1,Not Given,17,1,18-02-2023 20:00,0.0,0.0,0.0,1.0,0,0,0,1,0,22.3039,70.8022,West,Unknown,Violent Crime
2022-12-21 09:33:00,2022,12,3,9,Varanasi,554,ARSON,24,1,Other,8,1,09-02-2023 20:00,1.0,0.0,0.0,0.0,1,0,0,0,0,25.3176,82.9739,North,Other,Fire Accident
2022-12-21 17:54:00,2022,12,3,17,Hyderabad,375,VANDALISM,56,0,Firearm,19,1,06-01-2023 20:00,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Gun,Other Crime
2022-12-21 20:26:00,2022,12,3,20,Delhi,124,FRAUD,19,0,Knife,11,1,10-03-2023 11:00,0.0,1.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Sharp,Other Crime
2022-12-21 10:57:00,2022,12,3,10,Mumbai,413,CYBERCRIME,19,1,Firearm,15,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,19.076,72.8777,West,Gun,Other Crime
2022-12-21 05:38:00,2022,12,3,5,Ahmedabad,428,KIDNAPPING,73,2,Blunt Object,15,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,23.0225,72.5714,West,Blunt,Other Crime
2022-12-21 16:53:00,2022,12,3,16,Kolkata,553,KIDNAPPING,72,1,Blunt Object,2,0,Not Given,0.0,1.0,0.0,0.0,0,0,1,0,0,22.5726,88.3639,East,Blunt,Other Crime
2022-12-21 18:27:00,2022,12,3,18,Hyderabad,300,HOMICIDE,25,2,Other,19,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Other,Other Crime
2022-12-21 22:45:00,2022,12,3,22,Ahmedabad,110,ASSAULT,25,2,Explosives,12,0,Not Given,0.0,0.0,0.0,1.0,0,0,0,1,0,23.0225,72.5714,West,Other,Violent Crime
2022-12-22 06:01:00,2022,12,4,6,Delhi,118,ARSON,12,0,Knife,18,1,08-03-2023 23:00,1.0,0.0,0.0,0.0,1,0,0,0,0,28.6139,77.209,North,Sharp,Fire Accident
2022-12-21 16:11:00,2022,12,3,16,Chennai,311,ARSON,75,0,Knife,16,1,07-03-2023 02:00,1.0,0.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Sharp,Fire Accident
2022-12-22 03:05:00,2022,12,4,3,Jaipur,224,EXTORTION,29,0,Explosives,9,0,Not Given,0.0,1.0,0.0,0.0,1,0,0,0,0,26.9124,75.7873,North,Other,Other Crime
2022-12-21 14:26:00,2022,12,3,14,Kolkata,318,CYBERCRIME,21,0,Blunt Object,5,1,18-02-2023 17:00,0.0,1.0,0.0,0.0,0,0,1,0,0,22.5726,88.3639,East,Blunt,Other Crime
2022-12-21 14:37:00,2022,12,3,14,Kolkata,598,DOMESTIC VIOLENCE,34,0,Explosives,16,0,Not Given,0.0,0.0,0.0,1.0,0,0,1,0,0,22.5726,88.3639,East,Other,Violent Crime
2022-12-22 08:44:00,2022,12,4,8,Chennai,487,ARSON,10,0,Poison,17,0,Not Given,1.0,0.0,0.0,0.0,0,1,0,0,0,13.0827,80.2707,South,Other,Fire Accident
2022-12-22 05:19:00,2022,12,4,5,Hyderabad,163,FRAUD,69,1,Blunt Object,12,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,17.385,78.4867,Unknown,Blunt,Other Crime
2022-12-21 20:27:00,2022,12,3,20,Bangalore,419,PUBLIC INTOXICATION,71,2,Explosives,8,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,0,0,12.9716,77.5946,Unknown,Other,Other Crime
2022-12-22 04:01:00,2022,12,4,4,Surat,557,ASSAULT,10,0,Not Given,18,0,Not Given,0.0,0.0,0.0,1.0,0,0,0,1,0,21.1702,72.8311,West,Unknown,Violent Crime
2022-12-22 12:09:00,2022,12,4,12,Mumbai,375,TRAFFIC VIOLATION,72,1,Firearm,8,0,Not Given,0.0,0.0,1.0,0.0,0,0,0,1,0,19.076,72.8777,West,Gun,Traffic Fatality
2022-12-21 22:51:00,2022,12,3,22,Pune,212,FRAUD,37,2,Not Given,14,0,Not Given,0.0,1.0,0.0,0.0,0,0,0,1,0,18.5204,73.8567,West,Unknown,Other Crime
